name,latitude,longitude
Ackley,42.55170,-93.05227
Ackworth,41.36694,-93.47271
Adair,41.50015,-94.64295
Adel,41.61443,-94.01745
Afton,41.02749,-94.19801
Agency,40.99502,-92.30685
Ainsworth,41.28891,-91.55238
Akron,42.82888,-96.55948
Albert City,42.78192,-94.94860
Albia,41.02667,-92.80575
Albion,42.11249,-92.98853
Alburnett,42.14833,-91.61851
Alden,42.52026,-93.37604
Alexander,42.80580,-93.47659
Algona,43.06997,-94.23302
Alleman,41.81999,-93.61161
Allerton,40.70640,-93.36521
Allison,42.75275,-92.79519
Alta,42.67359,-95.29055
Alta Vista,43.19858,-92.41712
Alton,42.98749,-96.01057
Altoona,41.64416,-93.46466
Alvord,43.34220,-96.30114
Amana,41.80001,-91.87073
Ames,42.03471,-93.61994
Anamosa,42.10834,-91.28516
Anderson,40.80139,-95.60416
Andover,41.97919,-90.25180
Andrew,42.15363,-90.59235
Anita,41.44527,-94.76470
Ankeny,41.72971,-93.60577
Anthon,42.38832,-95.86668
Aplington,42.58415,-92.88436
Arcadia,42.08721,-95.04610
Archer,43.11526,-95.74585
Aredale,42.83303,-93.00547
Arion,41.94916,-95.46361
Arispe,40.94944,-94.21912
Arlington,42.74915,-91.67127
Armstrong,43.39607,-94.47831
Arnolds Park,43.37274,-95.12388
Arthur,42.33471,-95.34750
Asbury,42.51445,-90.75152
Ashton,43.31136,-95.79113
Aspinwall,41.91193,-95.13555
Atalissa,41.57114,-91.16599
Athelstan,40.57224,-94.54220
Atkins,41.99694,-91.86213
Atlantic,41.40360,-95.01388
Auburn,42.25137,-94.87776
Audubon,41.71804,-94.93249
Aurelia,42.71276,-95.43667
Aurora,42.61887,-91.72850
Avoca,41.47666,-95.33805
Ayrshire,43.03913,-94.83276
Badger,42.61441,-94.14607
Bagley,41.84610,-94.42997
Baldwin,42.07418,-90.84153
Balltown,42.63805,-90.86874
Bancroft,43.29274,-94.21802
Bankston,42.51861,-90.96124
Barnes City,41.50706,-92.46962
Barnum,42.50858,-94.36525
Bartlett,40.88500,-95.79500
Bassett,43.06303,-92.51546
Batavia,40.99418,-92.16740
Battle Creek,42.31554,-95.59861
Baxter,41.82610,-93.15159
Bayard,41.85193,-94.55831
Beacon,41.27695,-92.67964
